EPISODE_ID,BEGIN_DATE,END_DATE,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO
26837,2009-03-08 16:22:00,2009-03-08 16:44:00,0,0,0,0,0,0,0,2,3
59155,2012-01-17 09:44:00,2012-01-18 03:15:00,0,0,2,0,0,0,0,1,3
15617,2008-04-01 00:00:00,2008-04-16 17:00:00,0,0,2,0,0,0,0,0,0
30197,2009-04-06 23:45:00,2009-04-12 23:45:00,0,0,2,0,0,0,0,0,0
5462,2007-06-26 14:50:00,2007-06-26 16:30:00,0,0,1,0,0,0,0,0,3
67235,2012-07-19 20:55:00,2012-07-19 20:59:00,0,0,0,0,0,0,0,0,3
28533,2009-05-27 21:00:00,2009-05-27 23:30:00,0,0,3,0,0,0,0,0,0
14214,2008-02-17 14:35:00,2008-02-17 14:36:00,0,0,0,0,0,0,0,0,3
28531,2009-04-13 14:52:00,2009-04-13 16:13:00,1.75,0,0,0,0,0,0,0,0
28530,2009-04-29 06:30:00,2009-04-29 07:15:00,0,0,2,0,0,0,0,0,0
39627,2010-06-12 21:14:00,2010-06-12 21:18:00,0,0,0,0,0,0,0,0,3
96986,2015-06-12 11:00:00,2015-06-12 17:34:00,0,0,0,0,0,0,0,0,3
96985,2015-06-07 18:51:00,2015-06-07 22:06:00,0,0,0,0,0,0,0,0,3
94774,2015-05-27 11:36:00,2015-05-27 11:36:00,1.0,0,0,0,0,0,0,0,3
48598,2011-03-23 13:27:00,2011-03-23 20:56:00,1.0,0,0,0,0,0,0,0,0
99700,2015-09-04 16:30:00,2015-09-04 16:37:00,0.88,0,0,0,0,0,0,0,3
14186,2008-03-01 00:00:00,2008-03-02 05:40:00,0,0,2,0,0,0,0,0,0
37218,2010-04-07 21:10:00,2010-04-07 21:15:00,0,0,0,0,0,0,0,0,3
37214,2010-04-05 18:40:00,2010-04-05 18:44:00,0,0,0,0,0,0,0,0,3
30771,2009-06-02 13:54:00,2009-06-02 21:19:00,1.75,0,0,0,0,0,0,0,0
97906,2015-07-07 04:00:00,2015-07-07 15:15:00,0,0,1,0,0,0,0,0,0
1197265,2005-08-10 12:05:00,2005-08-10 15:46:00,0.75,0,0,0,0,0,0,0,3
28408,2009-06-19 03:40:00,2009-06-19 08:08:00,0.75,0,0,0,0,0,0,0,3
29136,2009-05-01 00:00:00,2009-05-29 10:15:00,0,0,2,0,0,0,0,0,0
2986,2007-04-11 15:10:00,2007-04-11 15:50:00,1.0,0,0,0,0,0,0,0,3
39560,2010-06-05 23:40:00,2010-06-06 00:51:00,0,0,0,0,0,0,0,1,3
1208070,2006-04-02 19:26:00,2006-04-02 21:50:00,0.88,0,0,0,0,0,0,2,3
89825,2014-08-21 17:05:00,2014-08-22 10:45:00,0,0,3,0,0,0,0,0,3
1211280,2006-05-25 16:31:00,2006-05-25 16:41:00,2.5,0,0,0,0,0,0,0,0
1211281,2006-05-25 16:40:00,2006-05-25 16:40:00,0,0,0,0,0,0,0,0,3
27710,2009-04-05 20:50:00,2009-04-06 02:00:00,0,0,2,0,0,0,0,0,0
1208094,2006-04-14 19:18:00,2006-04-15 00:30:00,2.0,0,2,0,0,0,0,0,3
8282,2007-07-04 14:22:00,2007-07-04 14:44:00,0.75,0,0,0,0,0,0,0,3
