,EPISODE_ID,BEGIN_DATE,DURACION,END_DATE,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO,ACCIDENTES
825,33339,2009-09-20 15:40:00,2.58333333333,2009-09-20 18:15:00,0,38.00835,3,-86.9584,0,22.9012444999,0,0,0,0
826,33624,2009-09-20 05:00:00,18.2166666667,2009-09-20 23:13:00,0,38.3282214286,3,-85.9306464286,0,53.2923425227,0,2,0,0
827,5204,2007-06-27 14:56:00,2.61666666667,2007-06-27 17:33:00,0,41.023,0,-85.808,0,101.952348203,0,0,3,0
828,57951,2011-11-14 19:32:00,1.08333333333,2011-11-14 20:37:00,0,38.3120625,0,-86.4458125,0,38.4474634835,0,2,3,0
829,99016,2015-07-07 16:00:00,4.0,2015-07-07 20:00:00,0,40.44265,2,-84.9719,0,1.29390076941,0,0,0,0
830,3486,2007-04-11 16:00:00,1.83333333333,2007-04-11 17:50:00,1.0,38.276,0,-86.064,0,90.9556358706,0,0,3,0
831,99011,2015-07-18 15:44:00,30.5166666667,2015-07-19 22:15:00,0,41.3994416667,3,-86.0696611111,0,161.325944271,0,0,3,0
832,3544,2007-03-01 23:00:00,1.0,2007-03-02 00:00:00,0,39.83,2,-84.9,0,2.1328433314,0,0,0,0
833,3547,2007-03-14 07:21:00,1.65,2007-03-14 09:00:00,0,39.83,2,-84.9,0,2.1328433314,0,0,0,0
834,1212617,2006-06-28 22:18:00,1.0,2006-06-28 23:18:00,1.0,38.5825,0,-86.06,0,59.6596915005,0,0,3,0
835,1212615,2006-06-07 14:25:00,5.2,2006-06-07 19:37:00,1.0,38.5971428571,0,-86.0985714286,0,87.2537093427,0,0,3,0
836,80304,2013-11-17 13:13:00,2.78333333333,2013-11-17 16:00:00,0,41.14685,0,-87.138645,0,94.7439833941,0,2,2,0
837,44639,2010-08-04 18:15:00,1.58333333333,2010-08-04 19:50:00,0,40.16214,0,-86.12866,0,130.505124268,0,0,3,0
838,44145,2010-08-04 07:09:00,3.33333333333,2010-08-04 10:29:00,0,40.85,0,-85.975,0,102.839738357,0,0,3,0
839,14344,2008-02-06 11:30:00,24.0,2008-02-07 11:30:00,0,38.79615,2,-86.702,0,2.32921676448,0,0,0,0
840,26786,2009-03-01 00:00:00,52.0,2009-03-03 04:00:00,0,39.8204375,2,-87.32,0,117.218505209,0,0,0,0
841,14342,2008-02-05 05:00:00,29.0,2008-02-06 10:00:00,0,39.72707,3,-86.446995,0,148.623387368,0,0,0,1
842,26784,2009-02-28 03:00:00,20.9833333333,2009-02-28 23:59:00,0,40.39515,2,-86.93285,0,4.05789634281,0,0,0,0
843,67288,2012-07-17 17:10:00,0.533333333333,2012-07-17 17:42:00,1.0,39.5933333333,0,-85.8966666667,0,77.8471272973,0,0,3,0
844,67289,2012-07-18 13:16:00,3.65,2012-07-18 16:55:00,1.0,39.5951,0,-86.31956,0,182.678874921,0,0,3,0
845,4568,2007-04-03 12:05:00,3.63333333333,2007-04-03 15:43:00,1.75,39.3840146341,0,-86.6265804878,0,141.822638886,0,0,3,0
846,67286,2012-07-01 12:56:00,6.56666666667,2012-07-01 19:30:00,2.0,39.1322916667,0,-86.3010666667,0,214.799339383,0,0,3,0
847,67287,2012-07-08 12:39:00,3.35,2012-07-08 16:00:00,1.75,38.9859222222,2,-86.4953833333,0,79.3082924786,0,0,3,0
848,30135,2009-05-15 17:55:00,9.08333333333,2009-05-16 03:00:00,1.75,40.2043409091,3,-86.7456363636,0,171.441991887,0,0,3,0
849,44038,2010-08-04 10:34:00,0.766666666667,2010-08-04 11:20:00,0.88,40.2102,0,-85.2188,0,32.0641715785,0,0,3,0
850,67517,2012-08-09 14:36:00,6.48333333333,2012-08-09 21:05:00,1.25,40.93,0,-85.8342857143,0,137.913448976,0,0,3,0
851,72159,2013-04-17 14:40:00,1.75,2013-04-17 16:25:00,1.0,38.2843833333,3,-86.3388,0,42.8310481818,0,0,0,0
852,72157,2013-04-16 16:26:00,3.81666666667,2013-04-16 20:15:00,1.75,38.5490909091,0,-86.2509090909,0,107.05504542,0,0,0,0
853,50373,2011-06-04 15:40:00,3.43333333333,2011-06-04 19:06:00,1.0,40.7238461538,0,-86.0353846154,0,112.282221687,0,0,3,0
854,1197139,2005-08-08 17:03:00,5.2,2005-08-08 22:15:00,2.5,41.34375,3,-85.5375,0,63.4034634617,0,0,0,0
855,7601,2007-07-26 01:45:00,2.0,2007-07-26 03:45:00,0,40.65,3,-86.6338,0,5.391289,0,0,0,0
856,15674,2008-03-04 15:56:00,1.06666666667,2008-03-04 17:00:00,0,39.2463666667,2,-85.0287833333,0,46.5283786979,0,0,0,0
857,77216,2013-08-07 13:15:00,4.01666666667,2013-08-07 17:16:00,1.25,41.558,0,-86.064,0,82.17630244,0,0,3,0
858,61604,2012-05-01 13:33:00,7.45,2012-05-01 21:00:00,1.5,39.4626921875,2,-86.4587765625,0,157.483260978,0,1,3,0
859,104071,2016-04-06 13:00:00,5.0,2016-04-06 18:00:00,0,38.1198333333,0,-87.7297666667,0,29.7568893196,0,0,3,0
860,31069,2009-08-19 18:43:00,3.3,2009-08-19 22:01:00,0,40.95065,0,-85.7982625,0,137.025237297,0,0,3,0
861,103474,2016-03-27 20:53:00,0.483333333333,2016-03-27 21:22:00,0,39.7422333333,0,-84.9901666667,0,30.7231955722,0,0,3,0
862,28331,2009-04-28 10:50:00,32.4166666667,2009-04-29 19:15:00,0,39.4052,2,-87.00735,0,4.17613498748,0,0,0,0
863,19199,2008-06-06 17:18:00,4.65,2008-06-06 21:57:00,1.0,39.9026527778,1,-86.4781847222,0,171.037475828,0,0,3,0
864,72573,2013-04-16 17:58:00,7.9,2013-04-17 01:52:00,1.75,38.8382625,0,-87.0733625,0,134.084181014,0,0,0,0
