EPISODE_ID,DURACION,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO,ACCIDENTES,ZONA,CLASE,RIESGO
77753,8.91666666667,0.0,39.4219083333,3,-86.7292416667,0,79.6550558363,0,0,3,1,7,3,si
12717,1.0,1.75,38.011225,1,-87.556625,0,15.2588288247,0,0,3,0,3,2,no
77751,0.383333333333,0.0,38.635025,0,-87.398325,0,15.3296592142,0,0,3,0,6,3,si
77750,6.03333333333,0.0,39.9890346154,3,-86.8185038462,0,141.901087156,0,0,3,0,10,3,si
82984,2.83333333333,1.25,39.8398636364,2,-86.3205659091,0,128.545971652,0,1,3,0,9,4,si
81501,37.8333333333,0.0,39.5698214286,3,-85.0006428571,0,111.696152316,0,0,3,0,12,3,no
61525,0.933333333333,2.75,38.3657142857,0,-86.2114285714,0,53.3114777268,0,0,3,0,1,1,si
54854,8.41666666667,1.75,41.499475,2,-87.16485,0,36.1380767631,0,0,0,0,0,1,no
77626,1.98333333333,0.0,38.03982,1,-87.55162,0,45.4871357915,0,0,3,0,3,2,no
43688,0.866666666667,0.0,39.112525,0,-85.988175,0,48.0906427598,0,1,0,0,11,3,no
43686,1.26666666667,0.0,39.1625454545,1,-87.2585909091,0,80.3736179592,0,0,3,0,6,3,si
80212,2.01666666667,0.0,39.33,0,-87.235,0,144.283476701,0,0,3,0,6,3,si
43682,2.0,0.0,39.855,3,-86.1227,0,2.95458629073,0,0,0,0,9,1,si
20739,3.63333333333,1.0,39.1290833333,0,-85.0597,0,53.9952957123,0,0,3,0,5,3,si
1196290,2.01666666667,0.0,41.402,0,-85.672,0,97.5316038717,0,0,3,0,4,1,no
41914,2.25,0.0,38.38628125,0,-86.0780625,0,104.426680583,0,0,3,0,1,1,si
61831,12.0333333333,0.0,41.0067416667,3,-87.3310416667,0,81.1872579231,0,0,3,0,14,2,no
1204691,0.666666666667,0.0,39.407,0,-85.074,0,79.5237819128,0,0,3,0,5,3,si
53030,4.2,1.0,41.4890714286,0,-85.7730428571,0,97.1013641724,0,0,3,0,4,1,no
10624,2.06666666667,0.0,41.5933333333,0,-87.3433333333,0,18.0018596065,0,0,3,0,0,4,no
87372,8.45,1.0,40.075015625,2,-86.049015625,0,151.786104549,0,0,3,0,2,4,si
90071,2.58333333333,0.75,41.4694736842,0,-85.9384210526,0,108.88796861,0,0,3,0,4,1,no
90072,1.1,0.88,41.2475,0,-85.3425,0,53.0439619095,0,0,0,0,4,3,no
90074,4.8,1.25,41.0169766667,0,-85.79913,0,138.855067514,0,0,3,0,8,1,no
33197,4.33333333333,0.0,38.322975,3,-86.84245,0,14.6620975538,0,0,0,0,1,4,si
58068,1.0,1.75,39.4532666667,0,-85.5938166667,0,71.6931627025,0,2,3,0,12,4,no
58069,1.06666666667,0.0,40.241,0,-85.73075,0,38.580560141,0,0,3,0,2,3,si
80364,15.5666666667,0.0,38.2636916667,2,-86.4359416667,0,65.4740035002,0,0,3,0,1,2,si
44652,0.783333333333,0.0,39.52355,0,-85.0135625,0,58.2083328115,0,1,3,0,12,2,no
10713,2.0,0.0,37.8194,0,-87.1031,0,14.1918511264,0,0,3,0,3,3,no
54411,2.01666666667,0.0,41.4257142857,0,-85.6242857143,0,126.101570466,0,0,3,0,4,1,no
78380,7.73333333333,1.0,39.25983125,2,-87.01795,0,132.576823628,0,0,3,0,6,3,si
1206695,51.75,4.25,40.875,0,-86.099047619,0,131.647370073,0,0,3,0,13,3,no
84648,4.36666666667,1.25,39.8492826087,0,-86.0095913043,0,204.094913988,0,0,3,0,9,5,si
1206692,1.05,0.75,40.81,0,-86.625,0,30.3734034054,0,0,3,0,13,4,no
49402,6.5,1.0,38.17,1,-87.47,0,70.2872439881,0,0,0,0,3,9,no
39771,2.75,0.0,39.1942,2,-85.084775,0,75.7435009801,0,0,3,0,5,3,si
18937,1.1,0.0,40.65,0,-85.58,0,37.0910645865,0,0,3,0,8,1,no
39777,8.05,0.0,39.4466666667,0,-85.1266666667,0,84.3045918098,0,0,3,0,12,2,no
30407,3.43333333333,1.0,38.4522807692,3,-86.0749,0,78.9910525189,0,0,3,0,1,2,si
1182610,0.75,1.75,40.945,0,-87.285,0,17.1868774336,0,0,3,0,14,4,no
10082,1.15,0.0,39.47,3,-87.4,0,2.17697331186,0,0,0,0,6,1,no
1205560,5.2,0.0,38.378,3,-86.53,0,59.2581150213,0,0,0,0,1,4,si
1205561,4.83333333333,0.0,38.4275,3,-85.88,0,42.6029694231,0,0,0,0,11,2,no
1205564,7.25,0.0,38.378,2,-86.53,0,59.2139850409,0,0,0,0,1,4,si
1205565,7.0,0.0,38.4375,2,-85.88,0,44.0248175677,0,0,0,0,11,2,no
1205567,5.53333333333,0.0,38.4433333333,3,-86.1922222222,0,96.9375944683,0,0,0,0,1,4,si
40319,2.85,0.75,40.3624,0,-86.0085,0,128.152278716,0,0,3,1,2,3,si
30534,6.1,0.0,38.33653,3,-85.80895,0,11.2935302146,0,0,3,0,11,3,no
40958,0.516666666667,0.0,39.7763,0,-86.06925,0,12.2074699391,0,0,3,0,9,5,si
68342,2.21666666667,2.75,40.76534,0,-87.30492,0,43.7175176573,0,0,3,0,14,4,no
1187734,2.21666666667,1.75,38.4144444444,0,-86.3888888889,0,72.8364137454,0,0,3,0,1,1,si
50712,0.35,1.0,40.92475,0,-87.37315,0,12.2461517404,0,0,0,0,14,3,no
78655,1.0,0.0,39.554125,3,-85.176725,0,24.6432818121,0,0,3,0,12,3,no
78658,1.0,0.0,39.24055,3,-85.26625,0,9.76995009602,0,0,0,0,5,1,no
40422,6.1,0.0,39.3655,3,-85.996405,0,181.032475214,0,0,3,0,9,4,si
40421,5.71666666667,2.5,38.90685,3,-87.1348125,0,179.911002236,0,0,3,0,6,2,no
85997,6.16666666667,0.88,41.576875,3,-87.2601208333,0,33.6242332361,0,0,3,0,0,3,no
28225,0.633333333333,1.0,38.135,0,-87.205,0,27.0672692833,0,0,0,0,3,10,no
19109,2.41666666667,0.0,39.5015,3,-86.850805,0,129.243990651,0,1,3,0,7,3,si
1181175,2.7,0.88,41.4425,3,-87.3925,0,12.3351301533,0,0,3,0,0,3,no
1203635,2.58333333333,0.75,39.4447368421,0,-86.7902631579,0,174.336392154,0,2,3,0,7,4,no
28646,29.7333333333,0.0,39.1587785714,2,-87.2356214286,0,110.622706242,0,0,0,0,6,1,no
1209657,5.61666666667,2.0,38.3279166667,3,-86.5683333333,0,97.1662004821,0,0,3,0,1,2,si
366,41.2666666667,1.0,40.0213333333,3,-85.638,0,152.12720278,0,0,3,0,2,4,si
1210753,2.13333333333,1.25,39.562,0,-85.096,0,46.8709518828,0,0,3,0,12,2,no
74858,0.783333333333,0.0,38.366,0,-86.086,0,42.8123834265,0,0,3,0,1,1,si
19358,5.5,0.0,39.2996382353,3,-86.6255529412,0,124.604834383,0,1,3,0,7,3,si
77742,4.06666666667,0.0,39.03175,3,-86.1513416667,0,25.9153559706,0,0,0,0,11,2,no
52938,2.45,1.0,39.3718513514,0,-86.5238405405,0,170.698468746,0,0,3,0,7,5,si
1218530,2.65,2.5,41.3228571429,0,-86.7678571429,0,89.3127870974,0,0,3,0,0,4,no
73918,3.08333333333,1.0,40.69,0,-85.56,0,39.7860055682,0,0,0,0,8,5,no
17634,2.0,1.0,37.9081666667,1,-87.1642333333,0,30.401948494,0,0,0,0,3,9,no
24957,8.16666666667,0.0,38.2944333333,0,-86.2516666667,0,107.54728986,0,0,3,0,1,1,si
21121,3.28333333333,0.0,39.4127142857,0,-86.1559314286,0,167.185895755,0,0,3,0,9,5,si
60248,7.23333333333,1.0,38.0318,0,-87.38805,0,49.1074124241,0,2,0,0,3,11,no
1205758,57.0,0.0,37.94,2,-87.66,0,28.8864768518,0,0,0,0,3,7,si
75853,82.9833333333,0.0,38.3865625,2,-87.624075,0,51.9239500018,0,0,0,0,3,7,si
1187813,0.483333333333,1.5,38.9983333333,0,-85.0083333333,0,34.9929402641,0,0,0,0,5,2,no
168,37.0,0.0,38.5,2,-87.28,0,2.1328433314,0,0,0,0,3,7,si
17299,1.51666666667,0.0,40.81,0,-87.336,0,50.3675080869,0,0,3,0,14,4,no
164,1.83333333333,0.0,38.17,1,-87.78,0,1.32944756907,0,0,0,0,3,8,no
4523,0.3,0.75,39.0952,0,-85.03685,0,24.0300255818,0,0,3,0,5,3,si
85673,2.58333333333,1.0,39.5658083333,2,-85.091325,0,28.5004992829,0,0,3,0,12,3,no
10367,5.41666666667,0.75,38.2799125,0,-86.233334375,0,91.1006960061,0,2,3,0,1,1,si
48967,17.6333333333,0.0,40.5252125,2,-85.340925,0,65.2253956102,0,0,0,0,8,4,no
1196274,2.41666666667,0.75,40.7741666667,0,-85.8404166667,0,134.594933993,0,3,3,0,8,2,no
1196277,0.333333333333,0.0,41.29,0,-85.98,0,4.47454202709,0,1,3,0,4,3,no
84658,11.7833333333,2.75,39.7006253731,3,-86.3680619403,0,148.493578818,0,0,3,0,9,4,si
80296,10.0,0.0,37.97075,3,-87.043325,0,33.9350408705,0,0,0,0,3,6,no
78392,2.0,0.0,38.65485,2,-87.1403,0,3.09419619366,0,0,0,0,6,1,no
9760,2.83333333333,0.0,39.8133333333,0,-85.5963833333,0,123.768240397,0,0,3,0,12,2,no
1196292,3.33333333333,0.0,41.2225,0,-85.2675,0,114.81767726,0,0,3,0,8,1,no
49434,7.45,2.0,39.869772,0,-86.333372,0,158.271919665,0,0,3,0,9,5,si
1205557,7.21666666667,0.0,38.2925,3,-86.3191666667,0,89.8916831397,0,0,3,0,1,2,si
1205553,22.0333333333,1.0,41.135,0,-87.44,0,55.591959841,0,0,3,0,14,4,no
1205559,0.5,1.0,38.2525,0,-86.6575,0,25.8132175376,0,0,0,0,1,3,si
68023,1.0,0.0,37.93,1,-87.9,0,1.32944756907,0,0,0,0,3,8,no
39763,3.48333333333,0.0,39.22232,3,-85.20741,0,27.133133257,0,0,3,0,5,3,si
1205797,2.0,0.0,38.3,3,-87.58,0,2.17697331186,0,0,0,0,3,6,no
70737,5.25,0.0,38.0914,0,-87.39,0,48.2225818408,0,0,1,0,3,12,no
1205799,2.0,0.0,38.03,3,-87.85,0,2.17697331186,0,0,0,0,3,6,no
1205798,2.0,0.0,38.38,3,-87.27,0,2.17697331186,0,0,0,0,3,6,no
71995,5.6,2.0,39.9939465116,2,-86.2790011628,0,147.589628286,0,0,3,0,9,4,si
27556,35.2833333333,0.0,41.2308571429,3,-85.9026357143,0,150.116444808,0,0,0,0,4,2,no
29299,7.21666666667,0.0,38.315,1,-87.4,0,23.7264861657,0,0,3,0,3,2,no
68629,4.16666666667,0.0,39.0912166667,0,-85.0607583333,0,102.329719769,0,0,3,0,5,3,si
40761,1.68333333333,0.75,38.39925,0,-86.45915,0,29.5487821743,0,0,3,0,1,1,si
89700,2.66666666667,0.0,41.5466666667,0,-86.53,0,36.3336338514,0,0,3,0,13,4,no
1186610,20.1666666667,1.75,39.3940566038,0,-86.2653773585,0,171.016024947,0,0,3,1,9,5,si
1186611,1.0,0.0,38.78,3,-86.95,0,2.17697331186,0,0,0,0,6,1,no
1186341,8.93333333333,0.0,40.735,2,-86.04,0,127.315938221,0,0,0,0,13,1,no
18361,3.73333333333,2.75,41.1804727273,0,-85.9005939394,0,151.987276621,0,0,3,0,4,1,no
79739,6.6,1.75,41.06009,0,-87.33672,0,81.7811215559,0,0,3,0,14,4,no
79738,3.25,0.0,41.65695,2,-87.5043,0,2.62189817356,0,0,0,0,0,1,no
67780,1.8,0.0,40.76625,0,-85.75125,0,93.5831143796,0,0,3,0,8,1,no
1193420,2.2,0.0,39.8475,2,-85.0175,0,22.4856688706,0,0,3,0,12,3,no
22382,3.45,0.0,41.051625,2,-87.31465,0,42.8600373287,0,0,3,0,14,2,no
52832,7.2,1.5,39.54205,3,-87.415225,0,60.8343154979,0,0,3,0,6,2,no
1210745,4.86666666667,0.0,39.825,2,-84.95,0,7.74542921558,0,0,3,0,12,3,no
19160,20.1666666667,0.0,39.425595,3,-86.43549,0,98.1442760782,0,0,3,1,7,3,si
51051,0.95,2.0,40.61418,0,-85.31942,0,83.856359433,0,0,0,0,8,5,no
50053,1.13333333333,1.0,38.58695,0,-85.9918,0,105.373856786,0,0,3,0,11,1,no
88832,0.266666666667,1.5,41.75,0,-86.045,0,9.45665610156,0,0,0,0,4,3,no
12739,1.66666666667,1.0,38.1612636364,0,-87.5191545455,0,67.2161607068,0,3,3,0,3,4,no
86248,6.2,1.25,41.5245454545,0,-85.5772727273,0,135.159821907,0,0,3,0,4,1,no
31968,2.45,0.0,37.9763,3,-87.4038,0,4.04877458878,0,0,0,0,3,6,no
51636,10.25,2.0,41.23184375,3,-86.322684375,0,118.340608152,0,0,3,0,13,5,no
73451,1.86666666667,0.0,39.7006677419,0,-86.4007032258,0,172.918957872,0,1,3,0,9,5,si
27121,52.0,0.0,41.0238,3,-87.3196333333,0,96.2180770586,0,0,0,0,14,1,no
65448,4.4,0.0,41.055,0,-86.281875,0,122.884619729,0,0,3,0,13,4,no
1184449,21.0,0.0,40.355,2,-85.985,0,130.936746194,0,0,0,1,2,1,si
80762,0.866666666667,0.0,39.3625,0,-85.125,0,80.3232135071,0,0,3,0,5,3,si
75467,1.25,0.0,38.05,1,-87.27,0,1.32944756907,0,0,0,0,3,8,no
75465,1.26666666667,0.0,40.8158571429,0,-85.6117428571,0,52.8370513585,0,0,3,0,8,1,no
1207816,1.26666666667,0.88,38.3805263158,0,-86.3305263158,0,108.887832973,0,0,3,0,1,1,si
75869,5.26666666667,2.0,40.9698589286,0,-86.0928982143,0,133.163505571,0,0,3,0,13,4,no
19586,57.7,0.0,39.49505,2,-86.392,0,3.12162326663,0,0,0,0,7,2,si
87750,6.08333333333,0.0,40.742675,3,-87.404875,0,24.3186838903,0,0,0,0,14,1,no
49551,0.333333333333,2.0,38.0133333333,0,-87.3133333333,0,14.8850112862,0,0,0,0,3,10,no
63078,0.516666666667,1.25,38.012,0,-87.612,0,24.1503194386,0,0,0,0,3,10,no
