EVENT_ID,EPISODE_ID,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
362965,60761,Winter Weather,20-JAN-12 20:00:00,21-JAN-12 06:00:00,0,0,0,0,,,,,,,,
356272,59620,Winter Weather,04-FEB-12 02:00:00,04-FEB-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
356274,59620,Winter Weather,04-FEB-12 02:00:00,04-FEB-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
357333,59849,Lake-Effect Snow,11-FEB-12 02:00:00,11-FEB-12 12:00:00,0,0,0,0,0.00K,0.00K,,,,,,
412849,68822,Frost/Freeze,11-OCT-12 02:00:00,11-OCT-12 07:00:00,0,0,0,0,0.00K,,,,,,,
412850,68822,Frost/Freeze,11-OCT-12 02:00:00,11-OCT-12 07:00:00,0,0,0,0,0.00K,,,,,,,
412851,68822,Frost/Freeze,11-OCT-12 02:00:00,11-OCT-12 07:00:00,0,0,0,0,0.00K,,,,,,,
412852,68822,Frost/Freeze,11-OCT-12 02:00:00,11-OCT-12 07:00:00,0,0,0,0,0.00K,,,,,,,
356278,59222,Winter Weather,12-JAN-12 16:00:00,13-JAN-12 10:00:00,0,0,0,1,0.00K,0.00K,,,,,,
356279,59222,Winter Weather,12-JAN-12 16:00:00,13-JAN-12 10:00:00,0,0,0,1,0.00K,0.00K,,,,,,
367286,61405,Winter Weather,10-FEB-12 15:00:00,11-FEB-12 07:00:00,0,0,0,0,,,,,,,,
367287,61405,Winter Weather,10-FEB-12 15:00:00,11-FEB-12 07:00:00,0,0,0,0,,,,,,,,
357334,59849,Lake-Effect Snow,11-FEB-12 02:00:00,11-FEB-12 12:00:00,0,0,0,0,0.00K,0.00K,,,,,,
357335,59849,Lake-Effect Snow,11-FEB-12 03:00:00,11-FEB-12 11:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421392,70166,Dense Fog,30-DEC-12 04:00:00,30-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421393,70166,Dense Fog,30-DEC-12 04:00:00,30-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421394,70166,Dense Fog,30-DEC-12 04:00:00,30-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421414,70168,Dense Fog,24-DEC-12 04:00:00,24-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421415,70168,Dense Fog,24-DEC-12 04:00:00,24-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421416,70168,Dense Fog,24-DEC-12 04:00:00,24-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421417,70168,Dense Fog,24-DEC-12 04:00:00,24-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421465,70174,Dense Fog,07-DEC-12 03:00:00,07-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
353212,58954,Lake-Effect Snow,01-JAN-12 19:00:00,03-JAN-12 04:00:00,0,0,0,0,0.00K,0.00K,,,,,,
357336,59849,Lake-Effect Snow,11-FEB-12 05:00:00,12-FEB-12 13:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421463,70174,Dense Fog,07-DEC-12 03:00:00,07-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
421464,70174,Dense Fog,07-DEC-12 03:00:00,07-DEC-12 09:00:00,0,0,0,0,0.00K,0.00K,,,,,,
359106,60164,Strong Wind,29-FEB-12 15:30:00,29-FEB-12 18:00:00,0,0,0,0,15.00K,0.00K,44.0,,,,,
418363,69738,Winter Weather,26-DEC-12 09:00:00,26-DEC-12 19:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418364,69738,Winter Weather,26-DEC-12 10:00:00,26-DEC-12 19:00:00,0,0,0,0,0.00K,0.00K,,,,,,
353218,58954,Winter Weather,01-JAN-12 19:00:00,03-JAN-12 04:00:00,0,0,0,0,0.00K,0.00K,,,,,,
353221,58954,Winter Weather,01-JAN-12 19:00:00,03-JAN-12 04:00:00,0,0,0,0,0.00K,0.00K,,,,,,
353226,58954,Winter Weather,01-JAN-12 19:00:00,02-JAN-12 23:00:00,0,0,0,0,0.00K,0.00K,,,,,,
420300,70024,Dense Fog,22-NOV-12 03:00:00,22-NOV-12 07:00:00,0,0,0,0,0.00K,0.00K,,,,,,
420301,70024,Dense Fog,22-NOV-12 03:00:00,22-NOV-12 07:00:00,0,0,0,0,0.00K,0.00K,,,,,,
420302,70024,Dense Fog,22-NOV-12 03:00:00,22-NOV-12 07:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418365,69738,Winter Weather,26-DEC-12 11:00:00,26-DEC-12 19:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418383,69738,Winter Weather,26-DEC-12 11:00:00,26-DEC-12 19:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418384,69738,Winter Weather,26-DEC-12 11:00:00,26-DEC-12 20:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418386,69738,Winter Weather,26-DEC-12 09:00:00,26-DEC-12 19:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418388,69738,Winter Weather,26-DEC-12 09:00:00,26-DEC-12 17:00:00,0,0,0,0,0.00K,0.00K,,,,,,
425823,70875,Winter Storm,28-DEC-12 22:00:00,29-DEC-12 08:00:00,0,0,0,0,,,,,,,,
418396,69738,Winter Weather,26-DEC-12 09:00:00,26-DEC-12 17:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418397,69738,Winter Weather,26-DEC-12 10:00:00,26-DEC-12 18:00:00,0,0,0,0,0.00K,0.00K,,,,,,
418399,69738,Winter Weather,26-DEC-12 10:00:00,26-DEC-12 19:00:00,0,0,0,0,0.00K,0.00K,,,,,,
380771,63593,Hail,28-JUN-12 21:14:00,28-JUN-12 21:15:00,0,0,0,0,0.00K,0.00K,0.75,,40.95,-86.26,40.95,-86.26
380772,63593,Hail,28-JUN-12 21:29:00,28-JUN-12 21:30:00,0,0,0,0,0.00K,0.00K,0.75,,40.82,-86.12,40.82,-86.12
