,DAY,DRUNK_DR,FATALS,HOUR,LATITUDE,LONGITUD,MINUTE,MONTH,STATE,YEAR
10009,20.0,0.0,1.0,16.0,39.14270833,-84.8275,45.0,1.0,18.0,2011.0
10010,20.0,1.0,1.0,16.0,39.04965278,-86.53664722,41.0,3.0,18.0,2011.0
10011,16.0,1.0,1.0,21.0,39.33529444,-85.58418333,24.0,3.0,18.0,2011.0
10012,22.0,1.0,1.0,0.0,40.06539444,-86.07135833,11.0,3.0,18.0,2011.0
10013,19.0,0.0,1.0,6.0,38.90976111,-86.54521944,34.0,3.0,18.0,2011.0
10014,18.0,0.0,1.0,15.0,40.88600556,-85.50581944,20.0,3.0,18.0,2011.0
10015,1.0,0.0,1.0,19.0,39.84021111,-86.11301111,29.0,3.0,18.0,2011.0
10016,14.0,0.0,1.0,3.0,41.13295278,-84.95186667,51.0,3.0,18.0,2011.0
10017,12.0,0.0,1.0,10.0,39.28799167,-86.757825,59.0,3.0,18.0,2011.0
10018,26.0,0.0,1.0,20.0,38.975725,-85.73108333,13.0,2.0,18.0,2011.0
10019,26.0,0.0,1.0,19.0,38.55924167,-85.76455556,30.0,3.0,18.0,2011.0
10020,23.0,1.0,1.0,19.0,39.88730833,-86.26700278,57.0,3.0,18.0,2011.0
10021,19.0,0.0,1.0,19.0,39.90486389,-86.90275556,22.0,3.0,18.0,2011.0
10022,27.0,1.0,2.0,3.0,40.39071667,-86.90395833,55.0,3.0,18.0,2011.0
10023,29.0,1.0,1.0,1.0,41.046525,-85.09655278,28.0,3.0,18.0,2011.0
10024,30.0,0.0,1.0,6.0,40.97643611,-85.01892222,15.0,3.0,18.0,2011.0
10025,28.0,0.0,1.0,17.0,38.52419722,-86.66105833,55.0,3.0,18.0,2011.0
10026,27.0,0.0,1.0,0.0,39.01244722,-85.8728,29.0,3.0,18.0,2011.0
10027,1.0,1.0,1.0,22.0,39.95472222,-85.87313056,45.0,4.0,18.0,2011.0
10028,3.0,1.0,1.0,4.0,41.61958056,-86.79645556,24.0,4.0,18.0,2011.0
10029,4.0,0.0,1.0,10.0,39.339275,-87.46052778,59.0,1.0,18.0,2011.0
10030,16.0,0.0,1.0,7.0,40.42460556,-86.873275,57.0,3.0,18.0,2011.0
10031,24.0,0.0,2.0,16.0,39.00871389,-85.28678056,30.0,3.0,18.0,2011.0
10032,1.0,0.0,2.0,15.0,39.91214722,-86.18394444,10.0,4.0,18.0,2011.0
10033,3.0,0.0,2.0,15.0,41.450125,-85.80579722,33.0,4.0,18.0,2011.0
10034,12.0,0.0,1.0,9.0,39.78482778,-86.41914444,19.0,3.0,18.0,2011.0
10035,1.0,1.0,1.0,18.0,41.72280278,-86.15701667,30.0,4.0,18.0,2011.0
10036,3.0,1.0,1.0,22.0,39.53871667,-84.85921389,47.0,4.0,18.0,2011.0
10037,2.0,1.0,1.0,5.0,41.59493611,-87.29213333,30.0,4.0,18.0,2011.0
10038,4.0,1.0,1.0,21.0,38.71880833,-86.64377778,13.0,4.0,18.0,2011.0
10039,27.0,2.0,1.0,4.0,39.09336389,-86.99910278,10.0,3.0,18.0,2011.0
10040,4.0,1.0,1.0,4.0,40.67569167,-86.51252778,40.0,4.0,18.0,2011.0
10041,5.0,0.0,1.0,22.0,38.98329722,-86.5557,10.0,4.0,18.0,2011.0
10042,6.0,0.0,1.0,8.0,39.91105278,-86.83696667,25.0,4.0,18.0,2011.0
10043,1.0,0.0,1.0,6.0,40.42565,-85.37025,43.0,4.0,18.0,2011.0
10044,3.0,0.0,1.0,17.0,39.56196667,-87.12470556,24.0,4.0,18.0,2011.0
