EVENT_ID,BEGIN_DATE_TIME,BEGIN_LAT,BEGIN_LON,DAMAGE_CROPS,DAMAGE_PROPERTY,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE_TIME,END_LAT,END_LON,EPISODE_ID,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,MAGNITUDE,RANGE,TOR_F_SCALE
303379,2011-04-19 23:14:00,38.21,-86.13,0,0,0,0,2011-04-19 23:14:00,38.21,-86.13,51175,Thunderstorm Wind,0,0,52.0,1.4162192,
305370,2011-04-19 23:28:00,38.3256,-85.7328,0,0,0,0,2011-04-19 23:29:00,38.3304,-85.7119,51175,Tornado,0,0,0.0,1.5771532,EF1
306484,2011-04-19 23:41:00,38.9062,-85.3718,0,0,0,0,2011-04-19 23:44:00,38.9088,-85.3121,51175,Tornado,0,0,0.0,2.9129054,EF0
303419,2011-04-19 23:28:00,38.8,-85.65,0,0,0,0,2011-04-19 23:28:00,38.8,-85.65,51175,Thunderstorm Wind,0,0,56.0,1.6862761328,
303425,2011-04-19 23:29:00,38.74,-85.81,0,0,0,0,2011-04-19 23:29:00,38.74,-85.81,51175,Thunderstorm Wind,0,0,54.0,1.4162192,
305371,2011-04-19 23:28:00,38.3247,-85.7303,0,0,0,0,2011-04-19 23:29:00,38.3251,-85.728,51175,Tornado,0,0,0.0,1.8185542,EF0
303427,2011-04-19 23:29:00,38.69,-85.78,0,0,0,0,2011-04-19 23:29:00,38.69,-85.78,51175,Thunderstorm Wind,0,0,56.0,1.4162192,
303430,2011-04-19 23:36:00,38.8189,-85.5464,0,0,0,0,2011-04-19 23:36:00,38.8189,-85.5464,51175,Thunderstorm Wind,0,0,56.0,2.6071308,
304918,2011-04-19 22:22:00,38.3353,-86.95,0,0,0,0,2011-04-19 22:23:00,38.3364,-86.9447,51175,Tornado,0,0,0.0,3.9267896,EF0
536868,2014-07-08 08:28:00,39.9284,-86.0781,0,8000,0,0,2014-07-08 08:28:00,39.9284,-86.0781,88247,Thunderstorm Wind,0,0,61.0,2.3979166,
536837,2014-07-07 14:20:00,39.52,-87.12,0,0,0,0,2014-07-07 14:20:00,39.52,-87.12,88246,Thunderstorm Wind,0,0,65.0,1.1104446,
536845,2014-07-07 14:40:00,39.5631,-87.1243,0,10000,0,0,2014-07-07 14:40:00,39.5631,-87.1243,88246,Thunderstorm Wind,0,0,65.0,2.2208892,
536848,2014-07-07 15:30:00,39.5057,-87.2098,0,1500,0,0,2014-07-07 15:30:00,39.5057,-87.2098,88246,Thunderstorm Wind,0,0,61.0,5.2142616,
536852,2014-07-07 16:55:00,39.2,-86.24,0,8000,0,0,2014-07-07 16:55:00,39.2,-86.24,88246,Thunderstorm Wind,0,0,61.0,0.8690436,
532376,2014-07-01 01:30:00,39.8552,-86.0868,0,3000,0,0,2014-07-01 01:30:00,39.8552,-86.0868,88245,Thunderstorm Wind,0,0,61.0,0.8207634,
536833,2014-07-01 01:35:00,39.6306,-86.1249,0,5000,0,0,2014-07-01 01:35:00,39.6306,-86.1249,88245,Thunderstorm Wind,0,0,61.0,1.2552852,
536834,2014-07-01 01:35:00,39.6787,-86.1486,0,1000,0,0,2014-07-01 01:35:00,39.6787,-86.1486,88245,Thunderstorm Wind,0,0,56.0,1.8668344,
