EVENT_ID,BEGIN_DATE_TIME,BEGIN_LAT,BEGIN_LON,DAMAGE_CROPS,DAMAGE_PROPERTY,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE_TIME,END_LAT,END_LON,EPISODE_ID,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,MAGNITUDE,TOR_F_SCALE
377946,2012-06-16 17:40:00,38.5393,-85.7418,0,0,0,0,2012-06-16 17:40:00,38.5393,-85.7418,63111,Thunderstorm Wind,0,0,52.0,
377949,2012-06-16 16:40:00,38.538,-85.7438,0,0,0,0,2012-06-16 18:00:00,38.538,-85.7438,63111,Heavy Rain,0,0,0.0,
54031,2007-09-26 06:30:00,38.35,-87.57,0,0,0,0,2007-09-26 07:30:00,38.35,-87.57,9631,Heavy Rain,0,0,0.0,
57892,2007-08-15 22:55:00,40.75,-86.07,0,0,0,0,2007-08-15 22:56:00,40.75,-86.07,10389,Thunderstorm Wind,0,0,55.0,
57900,2007-08-16 00:16:00,40.6,-84.97,0,0,0,0,2007-08-16 00:17:00,40.6,-84.97,10389,Thunderstorm Wind,0,0,50.0,
57921,2007-08-16 03:38:00,40.43,-84.98,0,50000,0,0,2007-08-16 03:39:00,40.43,-84.98,10389,Lightning,0,0,0.0,
57928,2007-08-16 00:00:00,40.73,-85.17,0,25000,0,0,2007-08-16 00:01:00,40.73,-85.17,10389,Thunderstorm Wind,0,0,55.0,
57781,2007-08-15 20:51:00,41.22,-86.78,0,0,0,0,2007-08-15 20:52:00,41.22,-86.78,10389,Hail,0,0,1.0,
57786,2007-08-15 21:20:00,41.16,-86.48,0,0,0,0,2007-08-15 21:21:00,41.16,-86.48,10389,Hail,0,0,1.5,
57790,2007-08-15 22:27:00,41.02,-86.41,0,0,0,0,2007-08-15 22:28:00,41.02,-86.41,10389,Hail,0,0,1.0,
57793,2007-08-15 22:55:00,40.87,-86.22,0,0,0,0,2007-08-15 22:56:00,40.87,-86.22,10389,Hail,0,0,1.0,
57794,2007-08-15 23:18:00,40.72,-85.78,0,0,0,0,2007-08-15 23:19:00,40.72,-85.78,10389,Hail,0,0,1.0,
57795,2007-08-15 23:48:00,40.63,-85.84,0,0,0,0,2007-08-15 23:49:00,40.63,-85.84,10389,Hail,0,0,1.0,
57805,2007-08-15 20:18:00,41.71,-86.88,0,20000,0,0,2007-08-15 20:19:00,41.71,-86.88,10389,Thunderstorm Wind,0,0,55.0,
57809,2007-08-15 20:29:00,41.32,-86.9,0,25000,0,0,2007-08-15 20:30:00,41.32,-86.9,10389,Thunderstorm Wind,0,0,60.0,
57837,2007-08-15 22:20:00,41.22,-86.42,0,250000,0,0,2007-08-15 22:21:00,41.22,-86.42,10389,Thunderstorm Wind,0,0,60.0,
57839,2007-08-15 22:33:00,40.9494,-86.18,0,25000,0,0,2007-08-15 22:34:00,40.9494,-86.18,10389,Thunderstorm Wind,0,0,55.0,
57855,2007-08-15 22:35:00,41.12,-86.39,0,0,0,0,2007-08-15 22:36:00,41.12,-86.39,10389,Thunderstorm Wind,0,0,55.0,
57873,2007-08-15 22:50:00,41.07,-86.22,0,0,0,0,2007-08-15 22:51:00,41.07,-86.22,10389,Thunderstorm Wind,0,0,55.0,
57792,2007-08-15 22:50:00,40.76,-86.1,0,0,0,0,2007-08-15 22:51:00,40.76,-86.1,10389,Hail,0,0,1.75,
57815,2007-08-15 20:30:00,41.22,-86.89,0,0,0,0,2007-08-15 20:31:00,41.22,-86.89,10389,Thunderstorm Wind,0,0,55.0,
57861,2007-08-15 22:40:00,40.87,-86.22,0,30000,0,0,2007-08-15 22:41:00,40.87,-86.22,10389,Thunderstorm Wind,0,0,60.0,
57803,2007-08-15 22:15:00,41.2446,-86.2969,0,500000,0,0,2007-08-15 22:21:00,41.2235,-86.25,10389,Tornado,0,0,0.0,EF1
57911,2007-08-16 00:29:00,40.45,-85.08,0,75000,0,0,2007-08-16 00:30:00,40.45,-85.08,10389,Thunderstorm Wind,0,0,55.0,
57933,2007-08-16 00:00:00,40.45,-85.37,0,25000,0,0,2007-08-16 00:02:00,40.45,-85.37,10389,Thunderstorm Wind,0,0,70.0,
57898,2007-08-15 23:00:00,41.4233,-85.9852,0,0,0,0,2007-08-15 23:01:00,41.4233,-85.9852,10389,Thunderstorm Wind,0,0,55.0,
238584,2010-06-11 11:43:00,38.67,-87.07,0,2000,0,0,2010-06-11 11:43:00,38.67,-87.07,40987,Thunderstorm Wind,0,0,52.0,
238612,2010-06-11 16:35:00,38.68,-87.51,0,7000,0,0,2010-06-11 16:35:00,38.68,-87.51,40987,Thunderstorm Wind,0,0,56.0,
239264,2010-06-11 12:40:00,38.87,-86.48,0,5000,0,0,2010-06-11 12:40:00,38.87,-86.48,40987,Thunderstorm Wind,0,0,56.0,
238603,2010-06-11 14:40:00,39.7947,-86.1563,0,500,0,0,2010-06-11 16:40:00,39.8068,-86.1557,40987,Flash Flood,0,0,0.0,
566176,2015-05-11 12:57:00,39.4537,-85.1056,0,1000,0,0,2015-05-11 13:07:00,39.4537,-85.1056,94155,Thunderstorm Wind,0,0,50.0,
566178,2015-05-11 13:23:00,39.67,-84.95,0,2000,0,0,2015-05-11 13:25:00,39.67,-84.95,94155,Thunderstorm Wind,0,0,50.0,
566182,2015-05-11 13:55:00,39.68,-85.16,0,4000,0,0,2015-05-11 13:57:00,39.68,-85.16,94155,Thunderstorm Wind,0,0,50.0,
566183,2015-05-11 13:57:00,39.8521,-85.1434,0,4000,0,0,2015-05-11 14:00:00,39.8521,-85.1434,94155,Thunderstorm Wind,0,0,50.0,
566184,2015-05-11 14:00:00,39.91,-85.14,0,3000,0,0,2015-05-11 14:03:00,39.91,-85.14,94155,Thunderstorm Wind,0,0,50.0,
258959,2010-08-11 08:00:00,40.7,-86.52,0,5000,0,0,2010-08-11 08:00:00,40.7,-86.52,44646,Thunderstorm Wind,0,0,56.0,
258961,2010-08-11 10:50:00,39.9367,-85.8477,0,5000,0,0,2010-08-11 10:50:00,39.9367,-85.8477,44646,Thunderstorm Wind,0,0,56.0,
258971,2010-08-11 11:45:00,39.6916,-85.5431,0,5000,0,0,2010-08-11 11:45:00,39.6916,-85.5431,44646,Thunderstorm Wind,0,0,56.0,
258994,2010-08-11 05:35:00,40.17,-85.46,0,0,0,0,2010-08-11 06:10:00,40.17,-85.46,44646,Heavy Rain,0,0,0.0,
259006,2010-08-11 06:10:00,40.1949,-85.3447,0,120000,0,0,2010-08-11 06:10:00,40.1949,-85.3447,44646,Lightning,0,0,0.0,
258920,2010-08-13 19:20:00,39.8472,-86.0097,0,500,0,0,2010-08-13 21:45:00,39.852,-86.0242,44641,Flood,0,0,0.0,
169288,2009-05-30 23:41:00,39.07,-85.38,0,3000,0,0,2009-05-30 23:45:00,39.07,-85.38,28792,Hail,0,0,0.88,
