,Unnamed: 0,DRUNK_DR,FATALS,LATITUDE,LONGITUD,STATE,DATE
326,13253,1.0,1.0,37.96281111,-87.53391944,18.0,2001-06-16
327,13254,0.0,1.0,39.99359722,-86.08959722,18.0,2001-06-17
330,13257,0.0,1.0,38.67831667,-85.77006944,18.0,2001-06-17
333,13260,0.0,1.0,38.29369444,-85.72689167,18.0,2001-06-19
334,13261,0.0,1.0,39.42589444,-86.40140833,18.0,2001-06-19
338,13265,0.0,1.0,39.99094444,-85.92447222,18.0,2001-06-21
339,13266,2.0,1.0,37.9647,-87.63506111,18.0,2001-06-21
347,13274,0.0,1.0,39.96335556,-87.28046389,18.0,2001-06-25
348,13275,0.0,1.0,39.38948889,-84.87345,18.0,2001-06-26
351,13278,0.0,1.0,38.858575,-86.07618056,18.0,2001-06-27
352,13279,1.0,1.0,39.91962222,-86.0143,18.0,2001-06-28
353,13280,0.0,1.0,39.35650556,-86.49599722,18.0,2001-06-28
354,13281,0.0,2.0,39.10701111,-85.83623889,18.0,2001-06-29
356,13283,0.0,1.0,39.1313,-86.96059167,18.0,2001-06-30
357,13284,0.0,1.0,38.14721667,-85.91171111,18.0,2001-06-30
358,13285,0.0,1.0,39.21205556,-86.495775,18.0,2001-06-30
360,13287,1.0,1.0,39.553175,-85.460925,18.0,2001-05-11
362,13289,0.0,1.0,39.51857778,-85.77686944,18.0,2001-06-20
364,13291,1.0,1.0,38.94716111,-85.09025278,18.0,2001-06-23
374,13301,1.0,1.0,39.78181667,-86.14054722,18.0,2001-07-07
375,13302,0.0,1.0,39.49948611,-85.95026944,18.0,2001-07-07
380,13307,0.0,1.0,39.91603889,-86.09666667,18.0,2001-07-10
381,13308,0.0,1.0,38.22683611,-86.59596389,18.0,2001-07-10
385,13312,1.0,1.0,38.53475278,-86.48695833,18.0,2001-04-06
387,13314,0.0,1.0,39.79752778,-86.10459722,18.0,2001-06-01
388,13315,0.0,1.0,38.68571389,-85.77271667,18.0,2001-06-08
390,13317,1.0,1.0,38.177675,-87.82377778,18.0,2001-06-29
392,13319,1.0,1.0,38.57525278,-86.56381667,18.0,2001-07-09
394,13321,1.0,1.0,39.72310833,-86.11357778,18.0,2001-07-11
