EVENT_ID,EPISODE_ID,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
530173,87372,Thunderstorm Wind,2014-06-18 17:03:00,2014-06-18 17:03:00,0,0,0,0,6000,0,56.0,39.9902,-86.0472,39.9902,-86.0472
530843,87955,Thunderstorm Wind,2014-06-30 21:47:00,2014-06-30 21:47:00,0,0,0,0,0,0,65.0,41.5344,-87.2708,41.5315,-87.2496
529941,87816,Thunderstorm Wind,2014-06-30 23:43:00,2014-06-30 23:44:00,0,0,0,0,0,0,65.0,41.6689,-86.2208,41.6689,-86.2208
529946,87816,Thunderstorm Wind,2014-06-30 22:18:00,2014-06-30 22:19:00,0,0,0,0,0,0,61.0,41.68,-86.72,41.68,-86.72
529724,87366,Thunderstorm Wind,2014-06-18 13:25:00,2014-06-18 13:26:00,0,0,0,0,0,0,55.0,41.68,-85.98,41.68,-85.98
529960,87816,Tornado,2014-06-30 22:24:00,2014-06-30 22:28:00,0,0,0,0,0,0,0.0,41.4787,-86.6837,41.4849,-86.5928
532354,88245,Thunderstorm Wind,2014-07-01 01:03:00,2014-07-01 01:03:00,0,0,0,0,0,0,56.0,39.7508,-86.5371,39.7508,-86.5371
532357,88245,Thunderstorm Wind,2014-07-01 01:17:00,2014-07-01 01:17:00,0,0,0,0,20000,0,56.0,39.95,-86.62,39.95,-86.62
532359,88245,Thunderstorm Wind,2014-07-01 01:24:00,2014-07-01 01:24:00,0,0,0,0,7000,0,65.0,39.85,-86.24,39.85,-86.24
533739,88497,Hail,2014-07-27 15:10:00,2014-07-27 15:11:00,0,0,0,0,0,0,1.0,41.3586,-85.7002,41.3586,-85.7002
537839,87819,Thunderstorm Wind,2014-07-01 00:10:00,2014-07-01 00:11:00,0,0,0,0,0,0,60.0,41.58,-85.83,41.58,-85.83
537841,87819,Thunderstorm Wind,2014-07-01 00:15:00,2014-07-01 00:16:00,0,1,0,0,0,0,55.0,41.4367,-85.6737,41.4367,-85.6737
537842,87819,Thunderstorm Wind,2014-07-01 00:20:00,2014-07-01 00:21:00,0,0,0,0,0,0,65.0,41.23,-85.82,41.23,-85.82
541530,89842,Thunderstorm Wind,2014-09-05 17:08:00,2014-09-05 17:09:00,0,0,0,0,0,0,55.0,41.39,-85.78,41.39,-85.78
541531,89842,Thunderstorm Wind,2014-09-05 17:10:00,2014-09-05 17:11:00,0,0,0,0,0,0,55.0,40.87,-86.88,40.87,-86.88
541532,89842,Thunderstorm Wind,2014-09-05 17:26:00,2014-09-05 17:27:00,0,0,0,0,0,0,55.0,41.47,-85.59,41.47,-85.59
541533,89842,Thunderstorm Wind,2014-09-05 18:15:00,2014-09-05 18:16:00,0,0,0,0,0,0,50.0,41.73,-85.07,41.73,-85.07
541534,89842,Thunderstorm Wind,2014-09-05 18:24:00,2014-09-05 18:25:00,0,0,0,0,0,0,51.0,41.63,-85.0,41.63,-85.0
541868,90215,Hail,2014-10-07 08:32:00,2014-10-07 08:32:00,0,0,0,0,0,0,0.75,38.35,-87.57,38.35,-87.57
541869,90215,Thunderstorm Wind,2014-10-07 08:40:00,2014-10-07 08:40:00,0,0,0,0,0,0,52.0,38.3147,-87.4696,38.3147,-87.4696
541955,90232,Funnel Cloud,2014-10-13 16:54:00,2014-10-13 16:54:00,0,0,0,0,0,0,0.0,37.9659,-87.5791,37.9659,-87.5791
530189,87372,Thunderstorm Wind,2014-06-18 17:25:00,2014-06-18 17:25:00,0,0,0,0,800,0,48.0,39.9,-85.4,39.9,-85.4
530194,87372,Thunderstorm Wind,2014-06-18 17:10:00,2014-06-18 17:10:00,0,0,0,0,7000,0,52.0,40.05,-84.94,40.05,-84.94
530497,87816,Tornado,2014-06-30 22:11:00,2014-06-30 22:12:00,0,0,0,0,0,0,0.0,41.5625,-86.858,41.5617,-86.853
532361,88245,Thunderstorm Wind,2014-07-01 01:24:00,2014-07-01 01:24:00,0,0,0,0,0,0,62.0,39.72,-86.29,39.72,-86.29
532369,88245,Thunderstorm Wind,2014-07-01 01:25:00,2014-07-01 01:25:00,0,0,0,0,7000,0,61.0,39.7206,-86.2251,39.7206,-86.2251
537840,87819,Thunderstorm Wind,2014-07-01 00:10:00,2014-07-01 00:11:00,0,0,0,0,0,0,60.0,41.41,-85.75,41.41,-85.75
538500,87819,Tornado,2014-07-01 00:22:00,2014-07-01 00:23:00,0,0,0,0,0,0,0.0,41.0516,-85.6567,41.0551,-85.6495
538299,87819,Tornado,2014-07-01 00:06:00,2014-07-01 00:08:00,0,0,0,0,0,0,0.0,41.1979,-85.9217,41.1915,-85.9154
538254,87819,Thunderstorm Wind,2014-07-01 00:26:00,2014-07-01 00:27:00,0,0,0,0,0,0,60.0,41.5,-85.38,41.5,-85.38
530210,87372,Thunderstorm Wind,2014-06-18 17:31:00,2014-06-18 17:31:00,0,0,0,0,7000,0,56.0,39.85,-85.36,39.85,-85.36
530217,87372,Thunderstorm Wind,2014-06-18 22:20:00,2014-06-18 22:20:00,0,0,0,0,5000,0,52.0,40.6025,-86.7445,40.6025,-86.7445
530218,87372,Flood,2014-06-18 22:36:00,2014-06-19 00:00:00,0,0,0,0,500,0,0.0,40.4809,-86.1313,40.4808,-86.1298
530517,87529,Thunderstorm Wind,2014-06-19 13:55:00,2014-06-19 13:55:00,0,0,0,0,0,0,52.0,40.28,-86.04,40.28,-86.04
515213,85276,Thunderstorm Wind,2014-06-23 15:50:00,2014-06-23 15:50:00,0,0,0,0,10000,0,52.0,38.4239,-86.9474,38.4239,-86.9474
530844,87955,Thunderstorm Wind,2014-06-30 21:51:00,2014-06-30 21:52:00,0,0,0,0,0,0,65.0,41.5758,-87.1933,41.576,-87.1648
530846,87955,Thunderstorm Wind,2014-06-30 21:52:00,2014-06-30 21:52:00,0,0,0,0,30000,0,87.0,41.2796,-87.2742,41.2906,-87.2606
530847,87955,Thunderstorm Wind,2014-06-30 21:58:00,2014-06-30 21:58:00,0,0,0,0,0,0,65.0,41.48,-87.05,41.48,-87.05
529495,87760,Thunderstorm Wind,2014-06-23 14:43:00,2014-06-23 14:44:00,0,0,0,0,0,0,50.0,41.48,-86.66,41.48,-86.66
529496,87760,Thunderstorm Wind,2014-06-23 16:35:00,2014-06-23 16:36:00,0,0,0,0,0,0,55.0,41.26,-85.25,41.26,-85.25
529602,87366,Thunderstorm Wind,2014-06-18 15:15:00,2014-06-18 15:16:00,0,0,0,0,0,0,52.0,41.03,-85.2,41.03,-85.2
529604,87366,Thunderstorm Wind,2014-06-19 03:27:00,2014-06-19 03:28:00,0,0,0,0,0,0,50.0,40.49,-85.49,40.49,-85.49
529605,87366,Thunderstorm Wind,2014-06-18 22:30:00,2014-06-18 22:31:00,0,0,0,0,0,0,50.0,40.75,-86.07,40.75,-86.07
529725,87366,Thunderstorm Wind,2014-06-18 13:29:00,2014-06-18 13:30:00,0,0,0,0,0,0,55.0,41.68,-85.98,41.68,-85.98
529727,87366,Thunderstorm Wind,2014-06-18 13:34:00,2014-06-18 13:35:00,0,0,0,0,0,0,56.0,41.32,-86.2,41.32,-86.2
529729,87366,Thunderstorm Wind,2014-06-18 13:38:00,2014-06-18 13:39:00,0,0,0,0,0,0,50.0,41.5523,-85.9055,41.5523,-85.9055
538256,87819,Thunderstorm Wind,2014-07-01 00:55:00,2014-07-01 00:56:00,0,0,0,0,0,0,60.0,41.74,-85.06,41.74,-85.06
532351,88245,Thunderstorm Wind,2014-07-01 01:00:00,2014-07-01 01:00:00,0,0,0,0,200,0,43.0,40.0,-86.62,40.0,-86.62
532355,88245,Thunderstorm Wind,2014-07-01 01:15:00,2014-07-01 01:15:00,0,0,0,0,65000,0,61.0,39.76,-86.38,39.76,-86.38
529947,87816,Thunderstorm Wind,2014-06-30 23:43:00,2014-06-30 23:44:00,0,0,0,0,0,0,59.0,41.7,-86.31,41.7,-86.31
